Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2009,96,50,87,125,390,3509,6799,970,116,37,30,49,12258
2010,48,29,34,58,52,41,95,257,409,267,110,123,1523
2011,132,116,129,122,177,652,1605,1582,653,322,189,93,5772
2012,48,63,119,98,325,1947,2419,1667,789,264,131,91,7961
2013,110,133,151,128,162,337,965,3106,2201,635,260,188,8376
2014,276,198,228,217,251,551,3971,10073,3950,681,202,241,20839
2015,279,355,442,402,416,1029,3127,12869,9568,1289,280,172,30228
2016,349,612,725,747,687,1197,4425,13594,9465,2238,925,554,35518
2017,767,667,882,549,1047,3203,16743,48488,26303,3885,595,413,103542
