temp_avg,rainfall,evaporation,sunshine,windSpeed_avg,humidity_avg,pressure_avg,flu_percentage_of_year
22.75968,3.3096776,5.141936,6.3935485,14.17742,66.564514,1018.9888,0.010941024041460723
19.851665,4.033334,3.6799998,5.436667,15.516666,65.399994,1017.245,0.010413167618407793
18.119356,0.88387096,3.664516,7.5258064,16.14516,58.59677,1020.35004,0.012044723835116847
15.3116665,2.2666664,3.3133333,6.3733335,17.7,60.550003,1018.78,0.026440808100196746
13.927418,0.52903223,3.1419356,7.4483867,18.5,53.95161,1018.62744,0.1905561687221076
13.982257,6.941935,3.4620688,6.3741937,18.67742,66.661285,1024.8871,0.48337252267383274
17.060347,1.8000001,4.7034483,8.306897,17.965517,54.948277,1019.12756,0.189548442823552
19.811668,2.8866665,6.1310353,8.229999,18.483334,54.783333,1017.1633,0.03267911128173137
21.916073,0.6,7.4071426,8.739286,18.642857,56.607143,1014.73035,0.009693363405153798
22.483871,3.8064516,7.4709682,7.143334,18.258064,64.41936,1011.45325,0.011564854359614185
23.982258,5.3483872,7.599999,8.309678,17.048388,66.661285,1011.4081,0.009229853116315998
23.724998,2.107143,6.3500013,7.2428575,16.410713,68.875,1018.0268,0.0117440783379648
22.564516,2.103226,5.638709,6.7483864,17.612904,63.112907,1015.09357,0.014622204578536456
18.988335,12.226668,3.9777775,5.6599994,19.3,71.0,1017.93835,0.013298928146089718
16.569353,3.5419347,3.2967744,5.8838716,17.596775,62.48387,1020.35,0.013762074897446077
14.329999,3.6866663,2.1499999,5.3799996,13.917242,68.66667,1024.8284,0.03404128622469234
12.712902,1.516129,2.3999999,6.883871,17.233871,60.758064,1020.9726,0.10344713510652376
14.52742,2.316129,3.6000001,8.190322,16.774193,52.80645,1018.71136,0.42573111022892685
16.283333,2.6666667,4.8733335,8.089999,19.183334,56.483334,1021.20337,0.3165277226412598
20.900002,1.3870968,6.6516137,7.5419345,15.967742,57.048386,1023.1985,0.042642583035596135
21.943333,4.0866666,7.303448,6.7068973,17.333332,61.45,1014.06494,0.009262935027127167
22.224194,3.116129,8.3533325,7.94138,17.435484,59.806454,1016.7709,0.005690088659520974
23.475807,8.058064,6.9870973,6.5999994,15.0,65.41936,1013.95,0.009826003716425474
24.418964,0.88965523,8.220689,9.572414,17.448277,59.517242,1014.2534,0.01723069992679768
23.214518,6.232258,6.329032,7.4129033,16.112904,65.62903,1017.7193,0.020412185370797906
20.805,5.1666665,4.36,7.246667,14.983334,65.9,1021.93335,0.021031589616532464
18.067741,0.23225805,4.1999993,7.451612,15.403226,52.677418,1015.6372,0.01934230530998367
14.951668,10.166668,3.6142862,5.6310344,18.033333,59.133335,1016.36334,0.0337012219156484
14.245159,3.3741937,3.3800004,6.6633325,17.967743,58.435482,1017.9565,0.12458471760797342
14.458063,4.8838706,3.7931032,6.8299994,17.387096,58.6129,1020.58716,0.3827355143870713
17.215,2.3333333,4.9666667,7.466667,18.7,54.916668,1013.8816,0.26648459935807195
19.108063,1.0129032,7.6838713,9.106451,20.967743,44.161293,1014.5,0.06301030463426995
21.73,0.9066667,8.259999,9.5,18.866667,50.98333,1012.0581,0.02604313305929388
24.085484,2.096774,8.296774,7.4258065,17.709679,55.98387,1012.50476,0.015597725097133848
